"","Num_episode","Title","Type","Year_launch","Rate","Votes","Saga","Airdate"
"30",30,"Aesthetics of an Instant","Manga Canon","2007",8.4,439,"s1 Kazekage Rescue","2007-09-27"
"31",31,"The Legacy!","Manga Canon","2007",8.5,675,"s1 Kazekage Rescue","2007-10-18"
"32",32,"Return of the Kazekage","Manga Canon","2007",7.9,405,"s1 Kazekage Rescue","2007-10-25"
"33",33,"The New Target","Manga Canon","2007",7.7,374,"s2 Long-Awaited Reunion","2007-11-08"
"34",34,"Formation! New Team Kakashi!","Manga Canon","2007",7.2,362,"s2 Long-Awaited Reunion","2007-11-15"
"35",35,"An Unnecessary Addition","Manga Canon","2007",7.3,364,"s2 Long-Awaited Reunion","2007-11-22"
"36",36,"The Fake Smile","Manga Canon","2007",7.2,362,"s2 Long-Awaited Reunion","2007-11-29"
"37",37,"Untitled","Manga Canon","2007",7.1,361,"s2 Long-Awaited Reunion","2007-11-29"
"38",38,"Simulation","Manga Canon","2007",7.1,360,"s2 Long-Awaited Reunion","2007-12-06"
"39",39,"The Tenchi Bridge","Manga Canon","2007",7.8,379,"s2 Long-Awaited Reunion","2007-12-13"
"40",40,"Nine-Tails Unleashed","Manga Canon","2007",7.7,393,"s2 Long-Awaited Reunion","2007-12-20"
"41",41,"The Top-Secret Mission Begins","Manga Canon","2007",8,395,"s2 Long-Awaited Reunion","2007-12-20"
"42",42,"Orochimaru vs. Jinchuriki","Manga Canon","2008",8.5,459,"s2 Long-Awaited Reunion","2008-01-10"
"43",43,"Sakura's Tears","Manga Canon","2008",7.9,380,"s2 Long-Awaited Reunion","2008-01-17"
"44",44,"The Secret of the Battle!","Manga Canon","2008",7.4,354,"s2 Long-Awaited Reunion","2008-01-24"
"45",45,"The Consequences of Betrayal","Mixed Canon/Filler","2008",7.3,346,"s2 Long-Awaited Reunion","2008-01-31"
"46",46,"The Unfinished Page","Manga Canon","2008",7.3,347,"s2 Long-Awaited Reunion","2008-02-07"
"47",47,"Infiltration: The Den of the Snake!","Manga Canon","2008",7.4,348,"s2 Long-Awaited Reunion","2008-02-14"
"48",48,"Bonds","Manga Canon","2008",7.2,355,"s2 Long-Awaited Reunion","2008-02-28"
"49",49,"Something Important...","Mixed Canon/Filler","2008",7.5,360,"s2 Long-Awaited Reunion","2008-03-06"
"50",50,"The Picture Book's Story","Mixed Canon/Filler","2008",7.3,345,"s2 Long-Awaited Reunion","2008-03-13"
"51",51,"Reunion","Manga Canon","2008",7.5,358,"s2 Long-Awaited Reunion","2008-03-20"
"52",52,"The Power of the Uchiha","Manga Canon","2008",8,384,"s2 Long-Awaited Reunion","2008-03-20"
"53",53,"Title","Manga Canon","2008",7.5,364,"s2 Long-Awaited Reunion","2008-04-03"
"54",54,"Nightmare","Mixed Canon/Filler","2008",7.5,362,"s3 Twelve Guardian Ninja","2008-04-03"
"55",55,"Wind","Manga Canon","2008",7.9,363,"s3 Twelve Guardian Ninja","2008-04-17"
"56",56,"Squirming","Mixed Canon/Filler","2008",7.6,346,"s3 Twelve Guardian Ninja","2008-04-24"
"57",57,"Robbed of Sleep","Filler","2008",6.9,269,"s3 Twelve Guardian Ninja","2008-05-08"
"58",58,"Loneliness","Filler","2008",6.6,267,"s3 Twelve Guardian Ninja","2008-05-08"
"59",59,"A New Enemy","Filler","2008",6.5,262,"s3 Twelve Guardian Ninja","2008-05-15"
"60",60,"Impermanence","Filler","2008",6.7,256,"s3 Twelve Guardian Ninja","2008-05-22"
"61",61,"Contact","Filler","2008",6.7,259,"s3 Twelve Guardian Ninja","2008-05-29"
"62",62,"Teammate","Filler","2008",6.5,256,"s3 Twelve Guardian Ninja","2008-06-05"
"63",63,"The Two Kings","Filler","2008",6.6,253,"s3 Twelve Guardian Ninja","2008-06-19"
"64",64,"The Jet-Black Signal Fire","Filler","2008",6.6,250,"s3 Twelve Guardian Ninja","2008-07-03"
"65",65,"Lockdown of Darkness","Filler","2008",6.9,249,"s3 Twelve Guardian Ninja","2008-07-03"
"66",66,"Revived Souls","Filler","2008",6.7,250,"s3 Twelve Guardian Ninja","2008-07-10"
"67",67,"Everyone's Struggle to the Death","Filler","2008",6.8,247,"s3 Twelve Guardian Ninja","2008-07-24"
"68",68,"Moment of Awakening","Filler","2008",6.7,247,"s3 Twelve Guardian Ninja","2008-07-31"
"69",69,"Despair","Filler","2008",6.6,251,"s3 Twelve Guardian Ninja","2008-07-31"
"70",70,"Resonance","Filler","2008",6.6,253,"s3 Twelve Guardian Ninja","2008-08-07"
"71",71,"My Friend","Filler","2008",6.6,265,"s3 Twelve Guardian Ninja","2008-08-14"
"72",72,"The Quietly Approaching Threat","Manga Canon","2008",7.3,335,"s4 Immortal Devastators","2008-08-21"
"73",73,"Akatsuki's Invasion","Manga Canon","2008",7.7,360,"s4 Immortal Devastators","2008-08-28"
"74",74,"Under the Starry Sky","Manga Canon","2008",7.5,340,"s4 Immortal Devastators","2008-09-04"
"75",75,"The Old Monk's Prayer","Manga Canon","2008",7.4,334,"s4 Immortal Devastators","2008-09-11"
"76",76,"The Next Step","Manga Canon","2008",7.7,348,"s4 Immortal Devastators","2008-09-25"
"77",77,"Climbing Silver","Manga Canon","2008",8.3,382,"s4 Immortal Devastators","2008-09-25"
"78",78,"The Judgment","Manga Canon","2008",8.6,501,"s4 Immortal Devastators","2008-10-02"
"79",79,"Unfulfilled Scream","Manga Canon","2008",8.6,482,"s4 Immortal Devastators","2008-10-02"
"80",80,"Last Words","Manga Canon","2008",8.5,634,"s4 Immortal Devastators","2008-10-16"
"81",81,"Sad News","Manga Canon","2008",8.1,372,"s4 Immortal Devastators","2008-10-23"
"82",82,"Team Ten","Manga Canon","2008",8.6,569,"s4 Immortal Devastators","2008-10-30"
"83",83,"Target: Locked On","Manga Canon","2008",8.3,377,"s4 Immortal Devastators","2008-11-06"
"84",84,"Kakuzu's Abilities","Manga Canon","2008",8.5,427,"s4 Immortal Devastators","2008-11-13"
"85",85,"Terrifying Secret","Manga Canon","2008",8.4,518,"s4 Immortal Devastators","2008-11-20"
"86",86,"Shikamaru's Genius","Manga Canon","2008",8.4,589,"s4 Immortal Devastators","2008-12-04"
"87",87,"When You Curse Someone, You Dig Your Own Grave","Manga Canon","2008",8.6,730,"s4 Immortal Devastators","2008-12-04"
"88",88,"Wind Style: Rasen Shuriken!","Manga Canon","2008",8.4,617,"s4 Immortal Devastators","2008-12-11"
"89",89,"The Price of Power","Mixed Canon/Filler","2008",7.7,344,"s5 The Three-Tailed Demon Turtle","2008-12-18"
"90",90,"A Shinobi's Determination","Mixed Canon/Filler","2008",6.9,287,"s5 The Three-Tailed Demon Turtle","2008-12-25"
"91",91,"Orochimaru's Hideout Discovered","Filler","2009",7,260,"s5 The Three-Tailed Demon Turtle","2009-01-08"
"92",92,"Encounter","Filler","2009",6.7,256,"s5 The Three-Tailed Demon Turtle","2009-01-15"
"93",93,"Connecting Hearts","Filler","2009",6.5,253,"s5 The Three-Tailed Demon Turtle","2009-01-22"
"94",94,"A Night of Rain","Filler","2009",6.4,245,"s5 The Three-Tailed Demon Turtle","2009-01-29"
"95",95,"The Two Charms","Filler","2009",6.4,246,"s5 The Three-Tailed Demon Turtle","2009-02-05"
"96",96,"The Unseeing Enemy","Filler","2009",6.6,239,"s5 The Three-Tailed Demon Turtle","2009-02-12"
"97",97,"The Labyrinth of Distorted Reflection","Filler","2009",6.8,240,"s5 The Three-Tailed Demon Turtle","2009-02-19"
"98",98,"The Target Appears","Filler","2009",6.8,239,"s5 The Three-Tailed Demon Turtle","2009-02-26"
"99",99,"The Rampaging Tailed Beast","Filler","2009",6.8,244,"s5 The Three-Tailed Demon Turtle","2009-03-05"
"100",100,"Inside the Mist","Filler","2009",6.5,241,"s5 The Three-Tailed Demon Turtle","2009-03-12"
"101",101,"Everyone's Feelings","Filler","2009",6.4,239,"s5 The Three-Tailed Demon Turtle","2009-03-26"
"102",102,"Regroup!","Filler","2009",6.4,240,"s5 The Three-Tailed Demon Turtle","2009-03-26"
"103",103,"The Four-Corner Sealing Barrier","Filler","2009",6.7,240,"s5 The Three-Tailed Demon Turtle","2009-04-09"
"104",104,"Breaking the Crystal Style","Filler","2009",6.8,237,"s5 The Three-Tailed Demon Turtle","2009-04-09"
"105",105,"The Battle Over the Barrier","Filler","2009",6.4,241,"s5 The Three-Tailed Demon Turtle","2009-04-16"
"106",106,"Red Camellia","Filler","2009",6.6,239,"s5 The Three-Tailed Demon Turtle","2009-04-23"
"107",107,"Strange Bedfellows","Filler","2009",6.5,236,"s5 The Three-Tailed Demon Turtle","2009-04-30"
"108",108,"Guidepost of the Camellia","Filler","2009",6.4,237,"s5 The Three-Tailed Demon Turtle","2009-05-07"
"109",109,"Cursed Seal Counterattack","Filler","2009",6.3,235,"s5 The Three-Tailed Demon Turtle","2009-05-14"
"110",110,"Memory of Guilt","Filler","2009",6.6,238,"s5 The Three-Tailed Demon Turtle","2009-05-21"
"111",111,"Shattered Promise","Filler","2009",6.7,241,"s5 The Three-Tailed Demon Turtle","2009-05-28"
"112",112,"A Place to Return To","Mixed Canon/Filler","2009",6.9,251,"s5 The Three-Tailed Demon Turtle","2009-06-04"
"113",113,"The Serpent's Pupil","Manga Canon","2009",7.8,350,"s6 Prophecy and Vengeance","2009-06-11"
"114",114,"Eye of a Hawk","Manga Canon","2009",8.2,367,"s6 Prophecy and Vengeance","2009-06-18"
"115",115,"Zabuza's Blade","Mixed Canon/Filler","2009",7.4,323,"s6 Prophecy and Vengeance","2009-06-25"
"116",116,"Guardian of the Iron Wall","Manga Canon","2009",7.2,313,"s6 Prophecy and Vengeance","2009-07-02"
"117",117,"Jugo of the Northern Hideout","Manga Canon","2009",7.3,309,"s6 Prophecy and Vengeance","2009-07-09"
"118",118,"Formation!","Manga Canon","2009",7.2,311,"s6 Prophecy and Vengeance","2009-07-23"
"119",119,"Kakashi Chronicles: A Boy's Life on the Battlefield, Part 1","Manga Canon","2009",8.4,661,"s6 Prophecy and Vengeance","2009-07-30"
"120",120,"Kakashi Chronicles: A Boy's Life on the Battlefield, Part 2","Manga Canon","2009",8.9,977,"s6 Prophecy and Vengeance","2009-07-30"
"121",121,"Assemble","Manga Canon","2009",7.7,344,"s6 Prophecy and Vengeance","2009-08-06"
"122",122,"The Hunt","Manga Canon","2009",7.8,337,"s6 Prophecy and Vengeance","2009-08-13"
"123",123,"Clash!","Manga Canon","2009",8.5,482,"s6 Prophecy and Vengeance","2009-08-20"
"124",124,"Art","Manga Canon","2009",8.4,533,"s6 Prophecy and Vengeance","2009-08-27"
"125",125,"Disappearance","Manga Canon","2009",8.2,377,"s6 Prophecy and Vengeance","2009-09-03"
"126",126,"Twilight","Manga Canon","2009",8.4,398,"s6 Prophecy and Vengeance","2009-09-10"
"127",127,"Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 1","Mixed Canon/Filler","2009",8,358,"s6 Prophecy and Vengeance","2009-09-24"
"128",128,"Tales of a Gutsy Ninja ~Jiraiya Ninja Scroll~ Part 2","Mixed Canon/Filler","2009",8.5,434,"s6 Prophecy and Vengeance","2009-09-24"
"129",129,"Infiltrate! The Village Hidden in the Rain","Manga Canon","2009",8,350,"s6 Prophecy and Vengeance","2009-10-08"
"130",130,"The Man Who Became God","Manga Canon","2009",8.5,468,"s6 Prophecy and Vengeance","2009-10-08"
"131",131,"Honored Sage Mode!","Manga Canon","2009",8.5,697,"s6 Prophecy and Vengeance","2009-10-15"
"132",132,"In Attendance, the Six Paths of Pain","Manga Canon","2009",8.8,810,"s6 Prophecy and Vengeance","2009-10-22"
"133",133,"The Tale of Jiraiya the Gallant","Manga Canon","2009",9.5,2229,"s6 Prophecy and Vengeance","2009-10-29"
"134",134,"Banquet Invitation","Manga Canon","2009",8.3,380,"s6 Prophecy and Vengeance","2009-11-05"
"135",135,"The Longest Moment...","Manga Canon","2009",8.4,389,"s6 Prophecy and Vengeance","2009-11-19"
"136",136,"The Light & Dark of the Mangekyo Sharingan","Manga Canon","2009",8.6,738,"s6 Prophecy and Vengeance","2009-11-19"
"137",137,"Amaterasu!","Manga Canon","2009",8.8,875,"s6 Prophecy and Vengeance","2009-11-26"
"138",138,"The End","Manga Canon","2009",9.2,1154,"s6 Prophecy and Vengeance","2009-12-03"
"139",139,"The Mystery of Tobi","Manga Canon","2009",8.6,486,"s6 Prophecy and Vengeance","2009-12-10"
"140",140,"Fate","Manga Canon","2009",8.6,732,"s6 Prophecy and Vengeance","2009-12-17"
"141",141,"Truth","Manga Canon","2009",8.8,849,"s6 Prophecy and Vengeance","2009-12-24"
"142",142,"Battle of Unraikyo","Manga Canon","2010",7.9,330,"s6 Prophecy and Vengeance","2010-01-07"
"143",143,"The Eight Tails Vs. Sasuke","Manga Canon","2010",8.5,418,"s6 Prophecy and Vengeance","2010-01-14"
"144",144,"Wanderer","Filler","2010",6.2,234,"s7 The Six-Tailed Demon Slug","2010-01-21"
"145",145,"Successor of the Forbidden Jutsu","Filler","2010",6.2,228,"s7 The Six-Tailed Demon Slug","2010-01-28"
"146",146,"The Successor's Wish","Filler","2010",6.3,222,"s7 The Six-Tailed Demon Slug","2010-02-04"
"147",147,"Rogue Ninja's Past","Filler","2010",6.3,224,"s7 The Six-Tailed Demon Slug","2010-02-11"
"148",148,"Heir to Darkness","Filler","2010",6.2,221,"s7 The Six-Tailed Demon Slug","2010-02-18"
"149",149,"Separation","Filler","2010",6.4,220,"s7 The Six-Tailed Demon Slug","2010-02-25"
"150",150,"The Forbidden Jutsu Released","Filler","2010",6.4,224,"s7 The Six-Tailed Demon Slug","2010-03-04"
"151",151,"Master and Student","Filler","2010",6.5,233,"s7 The Six-Tailed Demon Slug","2010-03-11"
"152",152,"Somber News","Manga Canon","2010",8.2,353,"s8 Two Saviors","2010-03-25"
"153",153,"Following the Master's Shadow","Manga Canon","2010",8.5,397,"s8 Two Saviors","2010-03-25"
"154",154,"Decryption","Manga Canon","2010",7.9,336,"s8 Two Saviors","2010-04-08"
"155",155,"The First Challenge","Manga Canon","2010",7.9,337,"s8 Two Saviors","2010-04-08"
"156",156,"Surpassing the Master","Manga Canon","2010",7.7,335,"s8 Two Saviors","2010-04-15"
"157",157,"Assault On the Leaf Village!","Manga Canon","2010",8.1,353,"s8 Two Saviors","2010-04-22"
"158",158,"Power to Believe","Manga Canon","2010",8.4,377,"s8 Two Saviors","2010-04-29"
"159",159,"Pain Vs. Kakashi","Manga Canon","2010",8.9,909,"s8 Two Saviors","2010-05-06"
"160",160,"Mystery of Pain","Manga Canon","2010",8.4,381,"s8 Two Saviors","2010-05-13"
"161",161,"Surname Is Sarutobi! Given Name, Konohamaru!","Manga Canon","2010",8.5,413,"s8 Two Saviors","2010-05-20"
"162",162,"Pain to the World","Manga Canon","2010",8.8,816,"s8 Two Saviors","2010-05-27"
"163",163,"Explosion! Sage Mode","Manga Canon","2010",8.8,828,"s8 Two Saviors","2010-06-03"
"164",164,"Danger! Sage Mode Limit Reached","Manga Canon","2010",9.1,1053,"s8 Two Saviors","2010-06-10"
"165",165,"Nine Tails, Captured!","Manga Canon","2010",8.9,994,"s8 Two Saviors","2010-06-17"
"166",166,"Confessions","Manga Canon","2010",9.2,1135,"s8 Two Saviors","2010-06-24"
"167",167,"Planetary Devastation","Manga Canon","2010",9.2,1252,"s8 Two Saviors","2010-07-01"
"168",168,"Fourth Hokage","Manga Canon","2010",9.2,1174,"s8 Two Saviors","2010-07-15"
"169",169,"The Two Students","Manga Canon","2010",8.5,421,"s8 Two Saviors","2010-07-22"
"170",170,"Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 1","Filler","2010",6.1,232,"s8 Two Saviors","2010-07-29"
"171",171,"Big Adventure! The Quest for the Fourth Hokage's Legacy, Part 2","Filler","2010",6,230,"s8 Two Saviors","2010-07-29"
"172",172,"Meeting","Manga Canon","2010",8,346,"s8 Two Saviors","2010-08-05"
"173",173,"Origin of Pain","Manga Canon","2010",8.5,402,"s8 Two Saviors","2010-08-12"
"174",174,"Tale of Naruto Uzumaki","Manga Canon","2010",8.5,516,"s8 Two Saviors","2010-08-19"
"175",175,"Hero of the Hidden Leaf","Manga Canon","2010",9,1075,"s8 Two Saviors","2010-08-26"
"176",176,"Rookie Instructor Iruka","Filler","2010",6.9,237,"s9 The Locus Of Konoha","2010-09-02"
"177",177,"Iruka's Ordeal","Filler","2010",6.7,225,"s9 The Locus Of Konoha","2010-09-09"
"178",178,"Iruka's Decision","Filler","2010",6.8,225,"s9 The Locus Of Konoha","2010-09-16"
"179",179,"Kakashi Hatake, the Jonin in Charge","Filler","2010",6.6,228,"s9 The Locus Of Konoha","2010-09-30"
"180",180,"Inari's Courage Put to the Test","Filler","2010",5.9,223,"s9 The Locus Of Konoha","2010-10-07"
"181",181,"Naruto's School of Revenge","Filler","2010",5.8,220,"s9 The Locus Of Konoha","2010-10-14"
"182",182,"Gaara's Bond","Filler","2010",6.5,219,"s9 The Locus Of Konoha","2010-10-21"
"183",183,"Naruto: Outbreak","Filler","2010",5.9,214,"s9 The Locus Of Konoha","2010-10-28"
"184",184,"Deploy! Team Tenten","Filler","2010",5.9,207,"s9 The Locus Of Konoha","2010-11-04"
"185",185,"Animal District","Filler","2010",5.3,225,"s9 The Locus Of Konoha","2010-11-11"
"186",186,"Ah, the Medicine of Youth","Filler","2010",5.9,209,"s9 The Locus Of Konoha","2010-11-18"
"187",187,"Gutsy Master and Student: The Training","Filler","2010",6.1,210,"s9 The Locus Of Konoha","2010-11-25"
"188",188,"Record of the Gutsy Ninja Master and Student","Filler","2010",6.1,205,"s9 The Locus Of Konoha","2010-11-25"
"189",189,"Sasuke's Paw Encyclopedia","Filler","2010",5.7,209,"s9 The Locus Of Konoha","2010-12-02"
"190",190,"Naruto and the Old Soldier","Filler","2010",6.2,214,"s9 The Locus Of Konoha","2010-12-09"
"191",191,"Kakashi Love Song","Filler","2010",6.3,210,"s9 The Locus Of Konoha","2010-12-16"
"192",192,"Neji Chronicles","Filler","2010",5.9,208,"s9 The Locus Of Konoha","2010-12-23"
"193",193,"The Man Who Died Twice","Filler","2011",6.1,206,"s9 The Locus Of Konoha","2011-01-06"
"194",194,"The Worst Three-Legged Race","Filler","2011",6.2,215,"s9 The Locus Of Konoha","2011-01-13"
"195",195,"Team 10's Teamwork","Filler","2011",5.8,208,"s9 The Locus Of Konoha","2011-01-20"
"196",196,"Drive Towards Darkness","Filler","2011",5.9,210,"s9 The Locus Of Konoha","2011-01-27"
"197",197,"The Sixth Hokage Danzo","Manga Canon","2011",7.5,306,"s10 The Gathering of the Five Kage","2011-02-10"
"198",198,"Five Kage Summit's Eve","Manga Canon","2011",7.6,299,"s10 The Gathering of the Five Kage","2011-02-10"
"199",199,"Enter the Five Kage!","Manga Canon","2011",7.5,298,"s10 The Gathering of the Five Kage","2011-02-17"
"200",200,"Naruto's Plea","Manga Canon","2011",7.7,308,"s10 The Gathering of the Five Kage","2011-02-24"
"201",201,"Painful Decision","Manga Canon","2011",8,316,"s10 The Gathering of the Five Kage","2011-03-03"
"202",202,"Racing Lightning","Manga Canon","2011",8.2,321,"s10 The Gathering of the Five Kage","2011-03-10"
"203",203,"Sasuke's Ninja Way","Manga Canon","2011",8.4,341,"s10 The Gathering of the Five Kage","2011-03-17"
"204",204,"Power of the Five Kage","Manga Canon","2011",8.3,324,"s10 The Gathering of the Five Kage","2011-03-24"
"205",205,"Declaration of War","Manga Canon","2011",8.3,322,"s10 The Gathering of the Five Kage","2011-03-31"
"206",206,"Sakura's Feelings","Manga Canon","2011",7.3,323,"s10 The Gathering of the Five Kage","2011-04-07"
"207",207,"The Tailed Beast vs. The Tailless Tailed Beast","Manga Canon","2011",8.3,325,"s10 The Gathering of the Five Kage","2011-04-14"
"208",208,"As One's Friend","Manga Canon","2011",7.7,308,"s10 The Gathering of the Five Kage","2011-04-21"
"209",209,"Danzo's Right Arm","Manga Canon","2011",8.5,373,"s10 The Gathering of the Five Kage","2011-04-28"
"210",210,"The Forbidden Visual Jutsu","Manga Canon","2011",8.4,364,"s10 The Gathering of the Five Kage","2011-05-05"
"211",211,"Danzo Shimura","Manga Canon","2011",8.4,520,"s10 The Gathering of the Five Kage","2011-05-12"
"212",212,"Sakura's Resolve","Manga Canon","2011",6.9,288,"s10 The Gathering of the Five Kage","2011-05-19"
"213",213,"Lost Bonds","Mixed Canon/Filler","2011",6.3,287,"s10 The Gathering of the Five Kage","2011-05-26"
"214",214,"The Burden","Manga Canon","2011",7.1,292,"s10 The Gathering of the Five Kage","2011-06-02"
"215",215,"Two Fates","Manga Canon","2011",7.4,297,"s10 The Gathering of the Five Kage","2011-06-09"
"216",216,"High-Level Shinobi","Manga Canon","2011",7.6,313,"s10 The Gathering of the Five Kage","2011-06-16"
"217",217,"The Infiltrator","Manga Canon","2011",7.5,292,"s10 The Gathering of the Five Kage","2011-06-23"
"218",218,"The Five Great Nations Mobilize","Manga Canon","2011",7.2,292,"s10 The Gathering of the Five Kage","2011-06-30"
"219",219,"Kakashi Hatake, The Hokage","Manga Canon","2011",8.1,330,"s10 The Gathering of the Five Kage","2011-07-07"
"220",220,"Prophecy of the Great Lord Elder","Manga Canon","2011",7.3,286,"s10 The Gathering of the Five Kage","2011-07-21"
"221",221,"Storage","Manga Canon","2011",7.9,299,"s10 The Gathering of the Five Kage","2011-07-28"
"222",222,"The Five Kage's Decision","Manga Canon","2011",7.2,278,"s11 Paradise On The Ship","2011-07-28"
"223",223,"The Young Man and the Sea","Filler","2011",5.8,218,"s11 Paradise On The Ship","2011-08-04"
"224",224,"The Ninja of Benisu","Filler","2011",5.6,210,"s11 Paradise On The Ship","2011-08-11"
"225",225,"The Cursed Ghost Ship","Filler","2011",5.4,212,"s11 Paradise On The Ship","2011-08-18"
"226",226,"Battleship Island","Filler","2011",5.2,235,"s11 Paradise On The Ship","2011-08-25"
"227",227,"The Forgotten Island","Filler","2011",5.4,211,"s11 Paradise On The Ship","2011-09-01"
"228",228,"Fight! Rock Lee!","Filler","2011",5.5,209,"s11 Paradise On The Ship","2011-09-08"
"229",229,"Eat or Die! Mushrooms from Hell","Filler","2011",5.3,213,"s11 Paradise On The Ship","2011-09-22"
"230",230,"Revenge of the Shadow Clones","Filler","2011",5.5,206,"s11 Paradise On The Ship","2011-09-29"
"231",231,"The Closed Route","Filler","2011",5.5,206,"s11 Paradise On The Ship","2011-10-06"
"232",232,"The Girls Get-Together","Filler","2011",6.5,209,"s11 Paradise On The Ship","2011-10-13"
"233",233,"Naruto's Imposter","Filler","2011",5.5,203,"s11 Paradise On The Ship","2011-10-20"
"234",234,"Naruto's Favorite Student","Filler","2011",6.3,216,"s11 Paradise On The Ship","2011-10-27"
"235",235,"The Kunoichi of Nadeshiko Village","Filler","2011",5.8,206,"s11 Paradise On The Ship","2011-11-03"
"236",236,"Friends You Can Count On","Filler","2011",5.9,200,"s11 Paradise On The Ship","2011-11-10"
"237",237,"Ah, My Hero Lady Tsunade!","Filler","2011",6.1,199,"s11 Paradise On The Ship","2011-11-24"
"238",238,"Sai's Day Off","Filler","2011",5.9,201,"s11 Paradise On The Ship","2011-12-01"
"239",239,"The Legendary Ino-Shika-Cho Trio","Filler","2011",6.1,204,"s11 Paradise On The Ship","2011-12-08"
"240",240,"Kiba's Determination","Filler","2011",5.8,203,"s11 Paradise On The Ship","2011-12-15"
"241",241,"Kakashi, My Eternal Rival!","Filler","2011",6.7,216,"s11 Paradise On The Ship","2011-12-22"
"242",242,"Naruto's Vow","Filler","2011",6.4,206,"s11 Paradise On The Ship","2011-12-28"
"243",243,"Land Ahoy! Is This the Island of Paradise?","Manga Canon","2012",7.1,288,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-01-05"
"244",244,"Killer Bee and Motoi","Manga Canon","2012",7,295,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-01-12"
"245",245,"The Next Challenge! Naruto vs. The Nine Tails!!","Manga Canon","2012",8.2,347,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-01-19"
"246",246,"The Orange Spark","Manga Canon","2012",8.3,621,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-01-26"
"247",247,"Target: Nine Tails","Manga Canon","2012",8.3,619,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-02-02"
